"","min","max","links","MeanAUC","DyAcc","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",2,8,51,0.764583333333333,0.89,0.570965708707419,0.32190638342604,0.52,0.578947368421053,0.215686274509804,0.493827160493827,0.314285714285714,0.612179487179489,0.398401665930734,0.55,0.636363636363636,0.274509803921569,0.474358974358974,0.383561643835616
"2",2,5,40,0.853461538461538,0.945,0.625667167539,0.335477150555278,0.64,0.611111111111111,0.275,0.353658536585366,0.379310344827586,0.69493006993007,0.464396220482527,0.68,0.681818181818182,0.375,0.320512820512821,0.483870967741935
"3",3,9,66,0.800189393939394,0.91,0.531076503862927,0.213831956267246,0.42,0.722222222222222,0.196969696969697,0.646341463414634,0.30952380952381,0.601689976689975,0.318567940330233,0.46,0.772727272727273,0.257575757575758,0.628205128205128,0.386363636363636
"4",1,9,60,0.742994505494506,0.9,0.584474157956492,0.305463302243581,0.45,0.647058823529412,0.183333333333333,0.590361445783133,0.285714285714286,0.645396270396276,0.4008840800348,0.5,0.727272727272727,0.266666666666667,0.564102564102564,0.390243902439024
