"","Acc","Recall","Pre","FPR","Fmeasure","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",0.8369,0.151260504201681,0.0116279069767442,0.154842627264447,0.0215956808638272,0.8375,0.192,0.0155038759689922,0.154329113924051,0.0286909742976689
"2",0.8185,0.145299145299145,0.00981524249422633,0.173530304563392,0.018388318009735,0.8193,0.2,0.0144341801385681,0.172860759493671,0.0269251480883145
"3",0.8251,0.158333333333333,0.0113977204559088,0.166801619433198,0.021264689423615,0.8256,0.192,0.0143971205758848,0.166379746835443,0.0267857142857143
"4",0.8179,0.111111111111111,0.00751445086705202,0.173732672265506,0.0140768814293449,0.8187,0.168,0.0121387283236994,0.173063291139241,0.0226415094339623
"5",0.8105,0.165289256198347,0.0110253583241455,0.181597327664743,0.020671834625323,0.8109,0.192,0.0132304299889746,0.18126582278481,0.0247550283651367
"6",0.8264,0.145299145299145,0.0102843315184513,0.165536780329859,0.0192090395480226,0.8272,0.2,0.015124016938899,0.164860759493671,0.0281214848143982
"7",0.8074,0.158333333333333,0.0103036876355748,0.184716599190283,0.0193482688391039,0.8079,0.192,0.0130151843817787,0.184303797468354,0.0243778567800914
"8",0.8272,0.135593220338983,0.0097442143727162,0.164541590771099,0.0181818181818182,0.8279,0.184,0.0140073081607795,0.163949367088608,0.0260328239954726
"9",0.8151,0.147540983606557,0.0102098695405559,0.17665519335898,0.0190981432360743,0.8154,0.168,0.0119115144639818,0.176405063291139,0.0222457627118644
"10",0.8279,0.139344262295082,0.0104102878138396,0.163595869609233,0.0193732193732194,0.8282,0.16,0.0122473974280465,0.163341772151899,0.0227531285551763
"11",0.8083,0.203252032520325,0.0135574837310195,0.184165232358003,0.025419420437214,0.8085,0.216,0.0146420824295011,0.184,0.0274250888776028
"12",0.8094,0.140495867768595,0.00934579439252336,0.182407126227351,0.0175257731958763,0.8098,0.168,0.011544804837823,0.182075949367089,0.0216049382716049
"13",0.8328,0.132231404958678,0.0101073910296905,0.158619293450754,0.0187793427230047,0.8332,0.16,0.0126342387871131,0.158278481012658,0.0234192037470726
"14",0.8127,0.135593220338983,0.0089535534415221,0.179214733859543,0.0167979002624672,0.8134,0.184,0.012870733072188,0.178632911392405,0.0240585774058577
"15",0.806,0.151260504201681,0.00969305331179321,0.186114765711972,0.0182186234817814,0.8066,0.192,0.012924071082391,0.185620253164557,0.024217961654894
"16",0.8045,0.186440677966102,0.0116959064327485,0.188119813802874,0.0220110055027514,0.8052,0.232,0.0154173312068049,0.187544303797468,0.028913260219342
"17",0.8117,0.127118644067797,0.00835654596100279,0.180125480671929,0.0156821745948772,0.8124,0.176,0.0122562674094708,0.179544303797468,0.0229166666666667
"18",0.8354,0.147540983606557,0.0115384615384615,0.156104474589998,0.0214030915576694,0.8357,0.168,0.0134615384615385,0.155848101265823,0.0249258160237389
"19",0.8171,0.161290322580645,0.0114613180515759,0.174665856622114,0.0214018191546281,0.8172,0.168,0.0120343839541547,0.174582278481013,0.0224598930481283
"20",0.7888,0.135593220338983,0.00789733464955577,0.203400121432908,0.0149253731343284,0.7895,0.184,0.0113524185587364,0.202835443037975,0.0213854021385402
"21",0.8154,0.133333333333333,0.00910125142207053,0.176315789473684,0.0170394036208733,0.8159,0.168,0.0119453924914676,0.175898734177215,0.0223048327137546
"22",0.8065,0.189655172413793,0.011808910359635,0.186260623229462,0.022233451237999,0.8074,0.248,0.0166398282340311,0.185518987341772,0.0311871227364185
"23",0.8229,0.172131147540984,0.0124186871673566,0.169062563271917,0.0231660231660232,0.8232,0.192,0.0141927853341218,0.168810126582278,0.026431718061674
"24",0.8177,0.135593220338983,0.00921128382268279,0.174155029346286,0.0172506738544474,0.8184,0.184,0.0132412204951065,0.173569620253165,0.0247046186895811
"25",0.8135,0.148760330578512,0.0101123595505618,0.178358133414313,0.0189374013677012,0.8139,0.176,0.0123595505617978,0.178025316455696,0.0230971128608924
