"","AUROC","AUPR","AUROC0","AUPR0"
"1",0.499662797622279,0.0186655587719307,0.520815392405062,0.027885547612637
"2",0.486059518149228,0.00849151337704346,0.514373265822785,0.0138909849052684
"3",0.499220630947358,0.0269335874683271,0.516573974683544,0.0311511207104491
"4",0.474701063199202,0.0160197452668493,0.505646987341773,0.0265747010732564
"5",0.494268491363087,0.0138501630732658,0.508947037974684,0.0177117431432736
"6",0.492734469459153,0.0222738950921627,0.520914227848102,0.0280621961003287
"7",0.482978535741202,0.017069872942388,0.502175189873418,0.0296989357480737
"8",0.485402019741984,0.0088448669880013,0.510824506329113,0.0139307277714291
"9",0.488874758203398,0.0217730439334843,0.500264911392405,0.0293199768199233
"10",0.488628657222235,0.00893344616199376,0.498795341772151,0.0122309781190839
"11",0.512497791158795,0.0241535458857995,0.519341367088607,0.0269142406048744
"12",0.48082401710476,0.0167173617837847,0.49564475949367,0.0244502997869457
"13",0.488296613686936,0.0176353888500386,0.503915341772151,0.0221815958841447
"14",0.480662608332803,0.0213644094432079,0.505318886075949,0.0267167311090596
"15",0.486796071132293,0.0176735888292545,0.508128405063292,0.0264343261483753
"16",0.494409581744829,0.0138203329926491,0.516753822784809,0.0307009770198028
"17",0.476339496720627,0.0164730388287608,0.50420982278481,0.0305222816168658
"18",0.498276062465942,0.0267470942830267,0.50900334177215,0.0302123418568883
"19",0.496498715349716,0.0353205791724057,0.50038035443038,0.0381256569598751
"20",0.469275366649125,0.020615603471729,0.493417721518986,0.0291473805175718
"21",0.480046848470569,0.025336712798023,0.498658430379747,0.0302994784929762
"22",0.500010329235371,0.0185111986278972,0.533002126582279,0.0290808267470097
"23",0.499161047120737,0.0102030069071013,0.510608202531646,0.0138113622265549
"24",0.479609379021401,0.00797274532785008,0.504186329113923,0.0127021384461405
"25",0.490286301418287,0.0102493656277763,0.504276253164557,0.0140737280906129
"26",0.487517391363005,0.0132265569780631,0.501872607594937,0.0171178952967501
"27",0.484154356058225,0.0173198528910363,0.502577417721518,0.0256047479316224
"28",0.515472937809564,0.0164594124611264,0.525049924050634,0.0198260350484278
"29",0.515945319179822,0.01994799878502,0.523488810126583,0.0269290892891696
"30",0.487183737115041,0.0174675118129898,0.50913417721519,0.0303861187470769
"31",0.483327131875411,0.0172206904468906,0.494401215189873,0.024621618423444
"32",0.514033151098536,0.023688627904342,0.521413670886076,0.0265952222427424
"33",0.483164921093953,0.00847165070161748,0.50120506329114,0.012509747035907
"34",0.506827179493785,0.0111050016944784,0.522849620253165,0.0150034775251777
"35",0.494816368126054,0.0185336013337404,0.498828962025316,0.0253272603467424
"36",0.484183905166361,0.00862762256875893,0.513874632911392,0.0144012240836162
"37",0.472886897504269,0.0199993436769649,0.496014177215189,0.0287889575462025
"38",0.489653857689746,0.00977484335545564,0.508331746835442,0.01453051620812
"39",0.492767008481026,0.0361045860462312,0.515581164556963,0.0542954640463422
"40",0.497439848730398,0.0104828423570612,0.518163848101267,0.015667221871539
"41",0.478460941839701,0.00821854539819555,0.497826430379748,0.0127387833460457
"42",0.488093461365203,0.0223531307754895,0.514586329113925,0.0362795234338367
"43",0.496633293546793,0.0267846813057316,0.518019240506328,0.0355300683133204
"44",0.500603029535556,0.0226376091438297,0.517279189873417,0.0308352262972014
"45",0.46942560093191,0.0157820810006321,0.500281518987341,0.0296664353584062
"46",0.494219935077153,0.0104017518983065,0.519053772151899,0.0155409636459307
