"","min","max","links","MeanAUC","DyAcc","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",3,9,45,0.841730769230769,0.795,0.430529326798251,0.195135667158977,0.52,0.428571428571429,0.2,0.455696202531646,0.272727272727273,0.50053333333333,0.296304510187799,0.56,0.52,0.288888888888889,0.426666666666667,0.371428571428571
"2",2,8,61,0.908521371511568,0.93,0.388467095242497,0.185591285367396,0.4,0.526315789473684,0.163934426229508,0.62962962962963,0.25,0.482933333333335,0.316177815249453,0.46,0.64,0.262295081967213,0.6,0.372093023255814
"3",3,8,50,0.909977081741788,0.91,0.48929581310917,0.226468528751452,0.53,0.571428571428571,0.24,0.481012658227848,0.338028169014085,0.550666666666668,0.295083852206899,0.57,0.64,0.32,0.453333333333333,0.426666666666667
"4",4,7,59,0.925536881419234,0.935,0.508521278751807,0.22206238600657,0.5,0.764705882352941,0.220338983050847,0.55421686746988,0.342105263157895,0.603466666666669,0.351403108756926,0.58,0.84,0.355932203389831,0.506666666666667,0.5
