"","link","AUROC","AUPR","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",414,0.495930471275179,0.0407614256825076,0.9346,0.0348837209302326,0.0217391304347826,0.0415725723670704,0.0267857142857143
"2",264,0.494200767395709,0.0280276955602537,0.9486,0.0155038759689922,0.0151515151515152,0.0266885649763909,0.0153256704980843
"3",882,0.503851102634004,0.0791817038443285,0.8914,0.104651162790698,0.0306122448979592,0.0877643194415931,0.0473684210526316
"4",681,0.513382477214459,0.0810771710548781,0.9113,0.10077519379845,0.0381791483113069,0.0672346540751386,0.0553780617678381
"5",364,0.494746036899289,0.0357312760882528,0.9392,0.0271317829457364,0.0192307692307692,0.0366454526791213,0.022508038585209
