"","link","AUROC","AUPR","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",80,0.529036935286932,0.25277777777778,0.765,0.305555555555556,0.1375,0.18956043956044,0.189655172413793
"2",54,0.547733516483516,0.242083333333333,0.82,0.25,0.166666666666667,0.123626373626374,0.2
"3",39,0.460241147741148,0.0704594017094017,0.8175,0.0277777777777778,0.0256410256410256,0.104395604395604,0.0266666666666667
"4",28,0.461538461538462,0.045,0.84,0,0,0.0769230769230769,0
"5",43,0.524038461538462,0.190600775193797,0.8325,0.166666666666667,0.13953488372093,0.101648351648352,0.151898734177215
"6",45,0.520833333333334,0.1875,0.8275,0.166666666666667,0.133333333333333,0.107142857142857,0.148148148148148
