"","link","AUROC","AUPR","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",470,0.449826452712542,0.0176310788298794,0.8699,0.00775193798449612,0.00191021967526266,0.107267501539725,0.00306513409961686
"2",451,0.490106969105241,0.0338592543047266,0.9304,0.0271317829457364,0.0154867256637168,0.0456785054403613,0.0197183098591549
"3",755,0.498112146082097,0.0639047230350633,0.9027,0.0775193798449612,0.0264900662251656,0.0754465202217204,0.0394866732477789
"4",487,0.499640332994355,0.0507908210368814,0.9281,0.0503875968992248,0.026694045174538,0.0486553069184972,0.0348993288590604
"5",744,0.511675053591976,0.0820207426856714,0.9052,0.104651162790698,0.0362903225806452,0.0735988503387395,0.0538922155688623
