"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",1,2,5,0.493131868131868,0.0425,0.8975,0,0,0.0137362637362637,0,0.493131868131868,0.045,0.8975,0,0,0.0137362637362637,0
"2",1,4,5,0.494505494505495,0.0425,0.8975,0,0,0.0137362637362637,0,0.494505494505495,0.045,0.8975,0,0,0.0137362637362637,0
"3",2,4,13,0.48224043715847,0.04,0.8825,0,0,0.0355191256830601,0,0.48224043715847,0.0425,0.8825,0,0,0.0355191256830601,0
"4",1,4,21,0.520575598015443,0.110720786707704,0.88,0.0909090909090909,0.142857142857143,0.0490463215258856,0.111111111111111,0.520575598015443,0.112993513980431,0.88,0.0909090909090909,0.142857142857143,0.0490463215258856,0.111111111111111
"5",1,3,14,0.495612026862027,0.0771100427350427,0.88,0.0277777777777778,0.0714285714285714,0.0357142857142857,0.04,0.495612026862027,0.0795405982905983,0.88,0.0277777777777778,0.0714285714285714,0.0357142857142857,0.04
"6",1,6,16,0.496375152625153,0.0818865740740741,0.875,0.0277777777777778,0.0625,0.0412087912087912,0.0384615384615385,0.480821917808219,0.04375,0.8725,0,0,0.0438356164383562,0
