"","AUROC","AUPR","AUROC0","AUPR0"
"1",0.429631990516187,0.00422448188451075,0.400714966854669,0.00472936389598515
"2",0.450744812543862,0.00658855789818689,0.383670977095975,0.00456233809719333
"3",0.445497030349985,0.00283509698726729,0.440178813064072,0.00450868530955849
"4",0.449154136413764,0.00559052028494454,0.403774532056382,0.00484971768674834
"5",0.452547668937905,0.00610689029019675,0.421939034978963,0.00613968707638564
"6",0.425015942410005,0.00331258795104627,0.410398587107598,0.00457810378496029
"7",0.445138852016025,0.00429082693207393,0.404319741622931,0.0042
"8",0.45202374906489,0.00520685621905861,0.429346757966636,0.00558329307475943
"9",0.491394148020654,0.00215,0.491394148020654,0.0038
"10",0.431874378018326,0.00452382014187767,0.411756902347704,0.00551858845541131
"11",0.413730776458043,0.00405327622474269,0.379619033966299,0.00474553286103804
"12",0.408203600907818,0.00388543023080969,0.362843018563358,0.00425
"13",0.423450651228462,0.00409310355590669,0.373877962682804,0.00415
"14",0.45110726028342,0.00478319907331881,0.433837294556983,0.00572141512779522
"15",0.403959239969497,0.00244458059850785,0.399127955682789,0.00464620969545297
"16",0.452833732420795,0.00308130218383977,0.452311816030894,0.00517458440778124
"17",0.427714062801284,0.00453582838612363,0.391237791211171,0.00492903169946173
"18",0.471896480532343,0.00529396813962362,0.454472016929631,0.00583483847620568
"19",0.46711032191291,0.00359974969456778,0.463434178059317,0.00546032433485589
"20",0.413802071558101,0.00309535102274153,0.403131823501092,0.00493319457545016
"21",0.413206752807076,0.00341752544268354,0.40943471489433,0.00554085990722415
"22",0.423738714225056,0.00464359494708854,0.36661074550797,0.00423937927103857
"23",0.472649564623287,0.00560531642693037,0.455319644314849,0.00581005558866732
"24",0.412054412857482,0.00304815781636315,0.402688437332376,0.00479070622235753
"25",0.432823084929004,0.00346258909388516,0.427891311803734,0.00769729885154047
"26",0.449873051400358,0.00539688275841071,0.387243888970003,0.00431509545259545
"27",0.409884964903095,0.00794743840947802,0.366397578203835,0.00425
"28",0.434766553966963,0.00531823592737935,0.399023529532343,0.00547566878275234
"29",0.476354442787699,0.00497933558578735,0.457906668218027,0.00465541526544689
"30",0.427114174040351,0.00402981999036305,0.387855427394833,0.0102257828044642
"31",0.416008252735635,0.0043602797949255,0.384758946512953,0.00519820469427516
"32",0.429955544255441,0.00418779870706113,0.40270752119846,0.00549652443352386
"33",0.471859416304842,0.00541671629356467,0.458404806692562,0.00568929849791684
"34",0.450790637241609,0.00439597371502554,0.43510964990848,0.00509464412799396
"35",0.410246611174627,0.00414555750233936,0.367102658213798,0.00443434773422737
"36",0.431945207171735,0.00476611891730497,0.391051374421859,0.00489877072518924
"37",0.428004365246149,0.00346416183336461,0.40510101010101,0.00455
"38",0.446678290069068,0.00453905885319007,0.413779169613092,0.00395
"39",0.430460944103689,0.00445866583844993,0.385624103136181,0.00455586224888469
"40",0.440079620025692,0.00398403825239736,0.423380413132964,0.00513514569497887
"41",0.43297019845027,0.00441087570531765,0.395353484609339,0.00458077957349458
"42",0.437012143863322,0.00511208239074046,0.401494408641218,0.00524268271939048
"43",0.405959690478538,0.00430763886536443,0.363907117617365,0.00465
"44",0.409580974442952,0.00352592667309556,0.377747800228381,0.00454984438045508
"45",0.418980927816609,0.0045066748087547,0.37382969582589,0.00439813259171479
"46",0.439059376219321,0.00496482439317122,0.381632035505346,0.00405
