"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",4,39,2629,0.450594931436782,0.0198409155258842,0.7147,0.160606060606061,0.0201597565614302,0.266390899689762,0.0358229131463332,0.410462307075355,0.0184876614365935,0.7117,0.0766666666666667,0.00874857360213009,0.268659793814433,0.0157050187777398
"2",5,35,2477,0.435110997873442,0.0175232284169805,0.7265,0.120588235294118,0.0165522809850626,0.252173913043478,0.0291089811856585,0.39692682850963,0.017645741166802,0.7236,0.0385852090032154,0.00484457004440856,0.254412220043348,0.00860832137733142
"3",4,39,2443,0.445142714966506,0.0172077641747157,0.7297,0.117647058823529,0.0163733115022513,0.248757763975155,0.0287459575997125,0.421465049425812,0.0193575828705813,0.7275,0.0566037735849057,0.0073679901760131,0.250464780004131,0.0130387540746106
"4",4,46,2743,0.441777822428896,0.0172542402818457,0.7018,0.132307692307692,0.015676266861101,0.27906976744186,0.0280312907431551,0.415638026719944,0.0187202685041197,0.6997,0.0723684210526316,0.00802041560335399,0.280631188118812,0.0144404332129964
"5",4,43,2806,0.434232225565547,0.0200965563814278,0.6965,0.149847094801223,0.0174625801853172,0.285020159206037,0.031279923396106,0.386167428722487,0.0167633674556665,0.6932,0.054421768707483,0.00570206699928724,0.287451061199258,0.0103225806451613
"6",5,39,2601,0.479660808952048,0.0205314810988131,0.7164,0.149253731343284,0.0192233756247597,0.263942058975685,0.0340599455040872,0.464815641616278,0.0201618229605884,0.7134,0.0655737704918033,0.00768935024990388,0.266219700876741,0.0137646249139711
"7",3,39,2606,0.437320749583013,0.0173529619571064,0.7154,0.136363636363636,0.0172678434382195,0.264839710444674,0.0306539509536785,0.409391694122329,0.0191502655982294,0.7136,0.0865384615384615,0.0103607060629317,0.266205615194055,0.0185058259081563
"8",3,39,2558,0.469531009890049,0.0218106615329158,0.7218,0.164670658682635,0.0215011727912432,0.258948893027105,0.0380359612724758,0.431978514270763,0.0184752213113341,0.7186,0.076158940397351,0.0089913995308835,0.261394101876676,0.0160839160839161
"9",4,37,2582,0.441398009980705,0.0179647380423587,0.7183,0.142857142857143,0.0182029434546863,0.262123875504084,0.0322913088285812,0.419525739690902,0.0196883907960631,0.7162,0.0844155844155844,0.0100697134004648,0.263722657862154,0.0179930795847751
"10",4,43,2818,0.439728165839765,0.0167923696560252,0.6941,0.124610591900312,0.014194464158978,0.287013121190206,0.0254858235106722,0.417222536202952,0.0187180103714589,0.6922,0.0695364238410596,0.00745209368346345,0.288409981439472,0.0134615384615385
