"","Acc","Recall","Pre","FPR","Fmeasure","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",0.8736,0.0535714285714286,0.0112781954887218,0.107610474631751,0.0186335403726708,0.8724,0,0,0.108704536166735,0
"2",0.864,0,0,0.115479115479115,0,0.8644,0.0169491525423729,0.00354609929078014,0.115116755428103,0.00586510263929619
"3",0.8608,0.0666666666666667,0.0135135135135135,0.119672131147541,0.0224719101123595,0.8592,0,0,0.121112929623568,0
"4",0.8712,0.0655737704918033,0.0148698884758364,0.108651086510865,0.0242424242424242,0.8712,0.0655737704918033,0.0148698884758364,0.108651086510865,0.0242424242424242
"5",0.8604,0.0169491525423729,0.00342465753424658,0.119213437115936,0.0056980056980057,0.86,0,0,0.11957411957412,0
"6",0.8796,0.0338983050847458,0.00813008130081301,0.0999590331831217,0.0131147540983607,0.8792,0.0172413793103448,0.0040650406504065,0.1003276003276,0.00657894736842105
"7",0.8816,0.0344827586206897,0.00826446280991736,0.0982800982800983,0.0133333333333333,0.8812,0.0175438596491228,0.00413223140495868,0.0986492018010643,0.00668896321070234
"8",0.8624,0.0169491525423729,0.00348432055749129,0.11716509627202,0.00578034682080925,0.8624,0.0169491525423729,0.00348432055749129,0.11716509627202,0.00578034682080925
"9",0.8752,0.0508474576271186,0.0115830115830116,0.104875051208521,0.0188679245283019,0.8748,0.0344827586206897,0.00772200772200772,0.105241605241605,0.0126182965299685
"10",0.8732,0.0508474576271186,0.0113636363636364,0.106923392052438,0.0185758513931889,0.872,0,0,0.108019639934534,0
"11",0.8748,0.0847457627118644,0.0189393939393939,0.106104055714871,0.0309597523219814,0.8728,0,0,0.107931316434996,0
"12",0.8552,0.05,0.00974025974025974,0.125,0.016304347826087,0.854,0,0,0.126074498567335,0
"13",0.8704,0.0327868852459016,0.00749063670411985,0.108651086510865,0.0121951219512195,0.8704,0.0327868852459016,0.00749063670411985,0.108651086510865,0.0121951219512195
"14",0.8828,0.0655737704918033,0.0166666666666667,0.0967609676096761,0.026578073089701,0.8812,0,0,0.098239869013508,0
"15",0.8624,0,0,0.116393442622951,0,0.8624,0,0,0.116393442622951,0
"16",0.8552,0.05,0.00974025974025974,0.125,0.016304347826087,0.854,0,0,0.126074498567335,0
"17",0.8732,0.0847457627118644,0.0186567164179104,0.107742728390004,0.0305810397553517,0.8728,0.0689655172413793,0.0149253731343284,0.108108108108108,0.0245398773006135
"18",0.8832,0.0666666666666667,0.0166666666666667,0.0967213114754098,0.0266666666666667,0.882,0.0175438596491228,0.00416666666666667,0.0978305362259517,0.00673400673400673
"19",0.8764,0.0517241379310345,0.0116731517509728,0.104013104013104,0.019047619047619,0.8752,0,0,0.105112474437628,0
"20",0.884,0.0166666666666667,0.00431034482758621,0.094672131147541,0.00684931506849315,0.884,0.0166666666666667,0.00431034482758621,0.094672131147541,0.00684931506849315
"21",0.8664,0.0526315789473684,0.0106007067137809,0.114613180515759,0.0176470588235294,0.8656,0.0181818181818182,0.00353356890459364,0.115337423312883,0.00591715976331361
"22",0.8692,0.0517241379310345,0.0109090909090909,0.111384111384111,0.018018018018018,0.8684,0.0178571428571429,0.00363636363636364,0.112111292962357,0.00604229607250755
"23",0.8664,0,0,0.114472608340147,0,0.8672,0.0357142857142857,0.00714285714285714,0.113747954173486,0.0119047619047619
