"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",1,5,40,0.451441827395412,0.154974425775952,0.55,0.352941176470588,0.15,0.409638554216867,0.210526315789474,0.454520975899581,0.190157657131815,0.55,0.352941176470588,0.15,0.409638554216867,0.210526315789474
"2",2,5,32,0.429452480097259,0.111829954692858,0.56,0.2,0.125,0.35,0.153846153846154,0.351253917123615,0.0980552056590815,0.53,0.0588235294117647,0.03125,0.373493975903614,0.0408163265306122
"3",2,5,40,0.405160565969624,0.108174615785521,0.5,0.1875,0.075,0.44047619047619,0.107142857142857,0.330554639491455,0.0798632310258088,0.48,0.0714285714285714,0.025,0.453488372093023,0.037037037037037
"4",2,5,37,0.480478228382431,0.142282615621938,0.55,0.25,0.108108108108108,0.392857142857143,0.150943396226415,0.441198267195797,0.131842849068634,0.54,0.2,0.0810810810810811,0.4,0.115384615384615
